Ref,Val,Package,PosX,PosY,Rot,Side
"U1","XIAO ESP32 C3","DIP-14_600_ELL",141.895000,-79.965000,-90.000000,bottom
"C201","100 nF","C_0402_1005Metric",146.150000,-72.750000,-90.000000,top
"C202","100 nF","C_0402_1005Metric",147.350000,-72.700000,-90.000000,top
"C301","100 nF","C_0402_1005Metric",145.050000,-87.800000,90.000000,top
"C302","100 nF","C_0402_1005Metric",146.300000,-87.800000,90.000000,top
"C401","100 nF","C_0402_1005Metric",136.400000,-74.850000,-90.000000,top
"D101","LED","LED_Kingbright_APA1606_1.6x0.6mm_Horizontal",147.522500,-70.777500,0.000000,top
"R101","220","R_0402_1005Metric",144.700000,-71.100000,180.000000,top
"R201","4.7k","R_0402_1005Metric",138.450000,-72.800000,0.000000,top
"R202","4.7k","R_0402_1005Metric",147.500000,-82.600000,90.000000,top
"R203","4.7k","R_0402_1005Metric",139.800000,-74.900000,180.000000,top
"R401","4.7k","R_0402_1005Metric",139.400000,-88.250000,0.000000,top
"R402","4.7k","R_0402_1005Metric",137.500000,-88.250000,180.000000,top
"R403","4.7k","R_0402_1005Metric",137.700000,-75.700000,-90.000000,top
"U2","BMI323","BMI323_BOS",143.949999,-73.800000,90.000000,top
"U3","MLX90393","QFN-16-1EP_3x3mm_P0.5mm_EP1.675x1.675mm",144.800000,-84.500000,180.000000,top
"U4","W25N01GVZEIG","WSON-8_8X6_WIN",139.005000,-82.400000,90.000000,top
